Reporting Year,Building ID,Building Status,Property Address Street*,Property Address City*,Property Address Postal Code*, Assessor Gross Floor Area* , Reported Gross Floor Area** ,Primary Property Type**,Energy Star Certification - Years Certified**,Energy Star Certification Recent**,Energy Star Score**,Site EUI**,Source EUI**,Weather Normalized Site EUI**,Weather Normalized Source EUI**,Total GHG Emissions**, Electricity Use Grid Purchase and Onsite (KWh)** , Electricity Use Grid Purchase (KWh)** , Natural Gas Use (kBtu)** , Natural Gas Use (therms)** ,District Chilled Water Use**,District Hot Water Use**,District Steam Use**,Indoor Water Use All Water Sources**,Indoor Water Intensity All Water Sources**,Outdoor Water Use All Water Sources**,Water Use**,Water Score**
2023,M10670,in compliance,801 S Miami Av,Miami,33131,"917,700","681,635",Multifamily Housing,0,0,95,39,97,38.7,96.1,2678.2,"6,398,353","6,398,352","4,726,083","47,261",0,0,0,0,0,0,0,0
2023,M10673,in compliance,851 Ne 1 Av,Miami,33132,"963,705","1,188,714",Multifamily Housing,0,0,72,50.4,127.7,49.4,124.6,6132.7,"14,893,470","14,893,464","9,093,500","90,935",0,0,0,0,0,0,28600.4,94
2023,M10675,in compliance,888 Ne 2 Av,Miami,33132,"567,227","51,025",Parking,0,0,0,48.8,136.7,48.4,135.4,277.7,"730,311","730,310", -   , -   ,0,0,0,0,0,0,108.8,0
2023,M10690,in compliance,2 S Biscayne Blvd,Miami,33130,"982,578","774,873",Office,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",2022,75,38.9,108.9,38,106.5,3359.2,"8,835,502","8,835,501", -   , -   ,0,0,0,0,0,0,9163.4,0
2023,M10691,in compliance,700 Nw 1 Ave,Miami,33130,"215,207","217,186",Office,0,0,64,55.8,156.3,54.7,153.2,1350.6,"3,552,400","3,552,400", -   , -   ,0,0,0,2565.7,11.8,0,2565.7,0
2023,M10692,in compliance,919 Nw 2Nd Ave,Miami,33130,"120,000","120,000",Multifamily Housing,0,0,88,36.5,102.1,35.9,100.6,487.6,"1,282,460","1,282,460", -   , -   ,0,0,0,0,0,0,10958.3,4
2023,M10715,in compliance,1633 N Bayshore Dr,Miami,33130,"602,907","602,907",Hotel,0,0,90,48.4,125.3,47.5,122.8,3045.3,"7,515,437","7,515,436","3,539,600","35,396",0,0,0,22341,37.1,0,22341,0
2023,M10720,in compliance,155 Ne 78Th St,Miami,33130,"203,531","132,426",Multifamily Housing,0,0,66,47.8,133.7,47.3,132.5,704.8,"1,853,793","1,853,793", -   , -   ,0,0,0,0,0,0,10048.6,31
2023,M10721,in compliance,801 Brickell Ave,Miami,33130,"411,613","440,343",Financial Office,"2022, 2019, 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",2022,85,47,131.5,45.9,128.7,2305.1,"6,062,788","6,062,787", -   , -   ,0,0,0,15134.8,34.4,0,15134.8,0
2023,M10722,in compliance,125 Ne 32Nd St,Miami,33130,"392,040","392,040",Multifamily Housing,0,0,30,61,154.7,59.9,150.9,2449.4,"5,955,504","5,955,503","3,582,660","35,827",0,0,0,0,0,0,19524.3,34
2023,M10724,in compliance,1100 Biscayne Blvd,Miami,33130,"401,445","401,445",Hotel,0,0,98,40.7,90.1,40.9,89.7,1498.3,"3,182,186","3,182,186","5,482,616","54,826",0,0,0,0,0,0,3580.2,0
2023,M10725,in compliance,169 E Flagler St.,Miami,33130,"347,565","266,148",Office,0,0,67,52.9,144.8,51.7,141.4,1535.5,"3,978,082","3,978,082","497,892","4,979",0,0,0,9844.4,37,0,9844.4,0
